Day,Employee_ID,Name,Target_Sales,Actual_Sales,Completion_Time (mins),Feedback_Rating
1,R01,Kumar,10,10,479,4.5
1,R02,Leena,10,10,488,4.3
1,R03,Mohit,10,10,464,4.9
1,R04,Nisha,10,10,502,3.9
1,R05,Om,10,10,488,4.4
1,R06,Praveen,10,10,451,4.6
1,R07,Rekha,10,10,490,4.5
1,R08,Suresh,10,10,474,4.7
1,R09,Tina,10,10,447,5.0
1,R10,Umesh,10,10,453,4.4
1,R11,Vikram,10,10,489,3.7
1,R12,Wendy,10,10,476,4.1
1,R13,Xavier,10,10,510,3.9
1,R14,Yasmin,10,10,496,4.6
1,R15,Zara,10,10,530,5.0
1,R16,Amit,10,10,474,5.0
1,R17,Bina,10,10,482,4.2
1,R18,Chandan,10,10,479,5.0
1,R19,Divya,10,10,489,4.4
1,R20,Eshan,10,9,483,5.0
2,R01,Kumar,10,10,472,4.5
2,R02,Leena,10,10,484,4.5
2,R03,Mohit,10,10,493,4.7
2,R04,Nisha,10,10,480,5.0
2,R05,Om,10,10,490,5.0
2,R06,Praveen,10,10,460,4.6
2,R07,Rekha,10,8,470,3.7
2,R08,Suresh,10,9,509,5.0
2,R09,Tina,10,8,475,4.3
2,R10,Umesh,10,10,491,5.0
2,R11,Vikram,10,8,487,4.4
2,R12,Wendy,10,8,490,5.0
2,R13,Xavier,10,10,494,4.2
2,R14,Yasmin,10,10,493,4.9
2,R15,Zara,10,10,451,5.0
2,R16,Amit,10,8,491,3.5
2,R17,Bina,10,10,474,5.0
2,R18,Chandan,10,8,463,3.9
2,R19,Divya,10,8,462,4.4
2,R20,Eshan,10,10,483,4.2
3,R01,Kumar,10,9,482,4.4
3,R02,Leena,10,10,496,4.3
3,R03,Mohit,10,10,470,4.7
3,R04,Nisha,10,10,488,4.0
3,R05,Om,10,10,479,5.0
3,R06,Praveen,10,10,524,5.0
3,R07,Rekha,10,8,489,4.5
3,R08,Suresh,10,10,454,4.1
3,R09,Tina,10,10,473,4.2
3,R10,Umesh,10,10,470,5.0
3,R11,Vikram,10,10,485,4.1
3,R12,Wendy,10,10,495,4.1
3,R13,Xavier,10,10,521,3.8
3,R14,Yasmin,10,10,481,4.2
3,R15,Zara,10,10,494,4.0
3,R16,Amit,10,10,444,5.0
3,R17,Bina,10,10,476,5.0
3,R18,Chandan,10,10,493,4.3
3,R19,Divya,10,10,451,4.3
3,R20,Eshan,10,8,507,4.9
4,R01,Kumar,10,10,433,4.3
4,R02,Leena,10,10,499,3.7
4,R03,Mohit,10,10,533,4.5
4,R04,Nisha,10,10,479,4.6
4,R05,Om,10,9,456,4.3
