Day,Employee_ID,Name,Target_Packaged,Actual_Packaged,Total_Time_Taken (secs),Feedback_Rating
1,SP01,Fatima,10,10,160,4.0
1,SP02,Gaurav,10,10,150,4.0
1,SP03,Hema,10,10,162,4.7
1,SP04,Ishan,10,10,159,5.0
1,SP05,Jiya,10,10,131,4.2
1,SP06,Kabir,10,10,135,4.3
1,SP07,Lalit,10,10,156,4.6
1,SP08,Mira,10,10,132,3.6
1,SP09,Naveen,10,10,150,3.9
1,SP10,Omkar,10,10,145,4.4
1,SP11,Priya,10,10,176,5.0
1,SP12,Rashmi,10,10,151,4.2
1,SP13,Siddharth,10,10,164,4.8
1,SP14,Tanvi,10,8,161,3.8
1,SP15,Usha,10,9,152,4.6
1,SP16,Varsha,10,8,164,3.6
1,SP17,Yash,10,8,167,4.0
1,SP18,Zain,10,10,145,4.2
1,SP19,Arjun,10,10,121,4.9
1,SP20,Bhavna,10,10,149,5.0
2,SP01,Fatima,10,10,150,4.6
2,SP02,Gaurav,10,10,138,4.9
2,SP03,Hema,10,10,152,3.6
2,SP04,Ishan,10,10,152,5.0
2,SP05,Jiya,10,10,148,4.9
2,SP06,Kabir,10,9,158,4.3
2,SP07,Lalit,10,10,150,4.9
2,SP08,Mira,10,10,151,5.0
2,SP09,Naveen,10,10,137,4.0
2,SP10,Omkar,10,9,140,4.9
2,SP11,Priya,10,10,140,4.7
2,SP12,Rashmi,10,10,141,4.9
2,SP13,Siddharth,10,10,157,4.7
2,SP14,Tanvi,10,10,156,4.3
2,SP15,Usha,10,10,138,5.0
2,SP16,Varsha,10,10,133,5.0
2,SP17,Yash,10,10,148,4.5
2,SP18,Zain,10,10,135,5.0
2,SP19,Arjun,10,10,154,4.8
2,SP20,Bhavna,10,10,141,4.5
3,SP01,Fatima,10,10,147,3.7
3,SP02,Gaurav,10,8,127,4.3
3,SP03,Hema,10,10,139,4.3
3,SP04,Ishan,10,9,149,4.7
3,SP05,Jiya,10,10,143,4.3
3,SP06,Kabir,10,10,142,5.0
3,SP07,Lalit,10,10,136,5.0
3,SP08,Mira,10,10,154,4.5
3,SP09,Naveen,10,10,154,5.0
3,SP10,Omkar,10,10,161,4.2
3,SP11,Priya,10,10,150,4.5
3,SP12,Rashmi,10,10,142,4.9
3,SP13,Siddharth,10,10,157,4.3
3,SP14,Tanvi,10,10,123,5.0
3,SP15,Usha,10,10,162,2.8
3,SP16,Varsha,10,10,147,5.0
3,SP17,Yash,10,10,159,4.5
3,SP18,Zain,10,10,146,4.5
3,SP19,Arjun,10,10,158,4.0
3,SP20,Bhavna,10,10,152,4.1
4,SP01,Fatima,10,10,145,3.9
4,SP02,Gaurav,10,10,158,4.4
4,SP03,Hema,10,10,142,5.0
4,SP04,Ishan,10,10,165,4.4
4,SP05,Jiya,10,10,150,4.7
4,SP06,Kabir,10,10,165,4.8
4,SP07,Lalit,10,10,156,4.6
4,SP08,Mira,10,10,149,4.6
4,SP09,Naveen,10,10,147,4.6
4,SP10,Omkar,10,10,141,4.1
4,SP11,Priya,10,10,147,4.9
4,SP12,Rashmi,10,10,144,4.2
4,SP13,Siddharth,10,10,145,4.0
